2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
2.049949281251846145e+01,5.070788161969652208e+01,5.317325037266577681e+00,-2.370125530666023383e+00,-2.560684130344325027e+01,-2.683423428960782786e+01,-2.750358712990625776e+01,-1.334224667152335897e+01,-5.842220637372516068e-01,1.364707703446904752e+01,1.950631628123550954e+01,1.950376442617456263e+01,1.161284517108424019e+01
2.049949281251846145e+01,2.604356608633521475e+01,9.430436557459914937e+00,-7.562088194992174550e+00,-2.187858824070850261e+01,-2.919044580992277815e+01,-2.589102920378153883e+01,-1.519410438305747668e+01,-1.976610226776410462e-01,1.249376972796825136e+01,1.995868238604050759e+01,1.912824014065956391e+01,1.226454265969311308e+01
2.049949281251846145e+01,1.888797437633388654e+01,1.829339697582555546e+00,-1.407222569111060118e+01,-2.707016884654706601e+01,-3.337059096411142889e+01,-2.949108044536106377e+01,-1.840121888207616863e+01,-3.025721415455040031e+00,1.024491485172084282e+01,1.844637302632136411e+01,1.836055016393644834e+01,1.215495861114288090e+01
2.049949281251846145e+01,1.950918545926882075e+01,2.644054743541767394e+00,-1.319123899556780444e+01,-2.616228508558557309e+01,-3.252991058753142539e+01,-2.867918090826260880e+01,-1.767327231155863032e+01,-2.367414513897148964e+00,1.079541757676344105e+01,1.888474010316278040e+01,1.868742290317464239e+01,1.237906445894488172e+01
2.049949281251846145e+01,2.708894635521403771e+01,1.022526868139447309e+01,-7.173509853575739115e+00,-2.174278751330314918e+01,-2.916915143630805929e+01,-2.582203780521953362e+01,-1.511832308971546546e+01,-1.236653968637126400e-01,1.258535870346482533e+01,1.999463216740242544e+01,1.911583064573544632e+01,1.220202131984587268e+01
